round,game,visitor,home,v_pts,h_pts
1,1,---,---,0,0
1,2,---,---,0,0
1,3,---,---,0,0
1,4,---,---,0,0
1,5,---,---,0,0
1,6,---,---,0,0
1,7,---,---,0,0
1,8,---,---,0,0
1,9,---,---,0,0
1,10,---,---,0,0
1,11,---,---,0,0
1,12,---,---,0,0
1,13,---,---,0,0
1,14,---,---,0,0
1,15,---,---,0,0
1,16,---,---,0,0
1,17,---,---,0,0
1,18,---,---,0,0
1,19,---,---,0,0
1,20,---,---,0,0
1,21,---,---,0,0
1,22,---,---,0,0
1,23,---,---,0,0
1,24,---,---,0,0
1,25,---,---,0,0
1,26,---,---,0,0
1,27,---,---,0,0
1,28,---,---,0,0
1,29,---,---,0,0
1,30,---,---,0,0
1,31,---,---,0,0
1,32,---,---,0,0
2,33,---,---,0,0
2,34,---,---,0,0
2,35,---,---,0,0
2,36,---,---,0,0
2,37,---,---,0,0
2,38,---,---,0,0
2,39,---,---,0,0
2,40,---,---,0,0
2,41,---,---,0,0
2,42,---,---,0,0
2,43,---,---,0,0
2,44,---,---,0,0
2,45,---,---,0,0
2,46,---,---,0,0
2,47,---,---,0,0
2,48,---,---,0,0
3,49,---,---,0,0
3,50,---,---,0,0
3,51,---,---,0,0
3,52,---,---,0,0
3,53,---,---,0,0
3,54,---,---,0,0
3,55,---,---,0,0
3,56,---,---,0,0
4,57,---,---,0,0
4,58,---,---,0,0
4,59,---,---,0,0
4,60,---,---,0,0
5,61,---,---,0,0
5,62,---,---,0,0
6,63,---,---,0,0
