box_number,user_id,home_digit,vstr_digit
1,robnjen,5,8
2,jbelen1,7,8
3,sarah1,4,8
4,jane007,9,8
5,None,1,8
6,sarah1,0,8
7,carolgold,2,8
8,edobbs1,8,8
9,xjcarter,3,8
10,ellen001,6,8
11,brodie1,5,1
12,jenlotito,7,1
13,vinny1,4,1
14,Chrissie,9,1
15,cordero1,1,1
16,steveo,0,1
17,StephD,2,1
18,brodie1,8,1
19,None,3,1
20,suzysuzy,6,1
21,xjcarter,5,4
22,carolgold,7,4
23,steveo,4,4
24,jane007,9,4
25,xjcarter,1,4
26,jenlotito,0,4
27,jbelen1,2,4
28,None,8,4
29,steveo,3,4
30,edobbs1,6,4
31,None,5,0
32,steveo,7,0
33,jenlotito,4,0
34,jane007,9,0
35,jane007,1,0
36,edobbs1,0,0
37,xjcarter,2,0
38,suzysuzy,8,0
39,suzysuzy,3,0
40,edobbs1,6,0
41,eddie1,5,6
42,jane007,7,6
43,steveo,4,6
44,jenlotito,9,6
45,cordero1,1,6
46,xjcarter,0,6
47,jenlotito,2,6
48,xjcarter,8,6
49,xjcarter,3,6
50,Chrissie,6,6
51,steveo,5,9
52,brodie1,7,9
53,robnjen,4,9
54,StephD,9,9
55,vinny1,1,9
56,jane007,0,9
57,vinny1,2,9
58,xjcarter,8,9
59,suzysuzy,3,9
60,jenlotito,6,9
61,xjcarter,5,5
62,steveo,7,5
63,Chrissie,4,5
64,jbelen1,9,5
65,None,1,5
66,steveo,0,5
67,cordero1,2,5
68,edobbs1,8,5
69,jenlotito,3,5
70,ellen001,6,5
71,eddie1,5,3
72,xjcarter,7,3
73,edobbs1,4,3
74,jenlotito,9,3
75,vinny1,1,3
76,ellen001,0,3
77,sarah1,2,3
78,None,8,3
79,ellen001,3,3
80,jbelen1,6,3
81,None,5,2
82,StephD,7,2
83,carolgold,4,2
84,sarah1,9,2
85,brodie1,1,2
86,StephD,0,2
87,eddie1,2,2
88,eddie1,8,2
89,edobbs1,3,2
90,jane007,6,2
91,robnjen,5,7
92,cordero1,7,7
93,None,4,7
94,xjcarter,9,7
95,robnjen,1,7
96,edobbs1,0,7
97,Chrissie,2,7
98,xjcarter,8,7
99,jane007,3,7
100,carolgold,6,7
